osm;rva
Rue du Pré-Joly;Rue du Pré Joly
Rue Honoré de Balzac;Allée Honoré de Balzac
Allée de la Jaunaie;Allée de la Jaunais
Rue de Vallière;Rue de la Vallière
Allée de l'Étoile;Allée de l'Etoile
Rue Pierre Semard;Rue Pierre Sémard
Place de l'Église;Place de l'Eglise
Allée de Vigny;Allée Alfred de Vigny
Rue Émile Zola;Rue Emile Zola
Rue des Muriers;Rue des Mûriers
Rue de Hœdic;Rue d'Hoëdic
Allée des Perciers;Rue des Perciers
Allée George Sand;Rue George Sand
Rue du Berry;Rue de Berry
Rue de Belle-Île;Rue de Belle-Ile


