code_insee;commune;code_postal;longitude_radian;latitude_radian
35001;Acigné;35690;-0.026824734;0.840070597
35022;Bécherel;35190;-0.033932116;0.842911591
35024;Betton;35830;-0.028696127;0.840933594
35032;Bourgbarré;35230;-0.028196771;0.837699851
35039;Brécé;35530;-0.025830873;0.839648819
35047;Bruz;35170;-0.030475387;0.838170099
35051;Cesson-Sévigné;35510;-0.028012535;0.839813668
35055;Chantepie;35135;-0.028206459;0.83927065
35066;Chartres-de-Bretagne;35131;-0.029719082;0.838490077
35076;Chavagne;35310;-0.0312123;0.838669508
35079;Chevaigné;35250;-0.028405235;0.841447451
35080;Cintré;35310;-0.032647361;0.839595489
35081;Clayes;35590;-0.032327372;0.840812354
35088;Corps-Nuds;35150;-0.02768771;0.837375078
35120;Gévezé;35850;-0.031226856;0.841592926
35131;L'Hermitage;35590;-0.031697116;0.839954217
35139;Laillé;35890;-0.030005124;0.837379872
35144;Langan;35850;-0.032317687;0.842034079
35058;La Chapelle-Chaussée;35630;-0.032351615;0.842489812
35059;La Chapelle-des-Fougeretz;35520;-0.030218439;0.840822074
35065;La Chapelle-Thouarault;35590;-0.032569782;0.839925188
35240;Le Rheu;35650;-0.030940814;0.83915913
35351;Le Verger;35160;-0.033728488;0.838970046
35180;Miniac-sous-Bécherel;35190;-0.033699393;0.842737087
35189;Montgermont;35760;-0.029946934;0.84045842
35196;Mordelles;35310;-0.032254661;0.839023375
35204;Nouvoitou;35410;-0.026984727;0.838470703
35206;Noyal-Châtillon-sur-Seiche;35230;-0.029006395;0.838504658
35208;Orgères;35230;-0.029127609;0.837704711
35210;Pacé;35740;-0.030921422;0.840332386
35216;Parthenay-de-Bretagne;35850;-0.031939526;0.841098377
35363;Pont-Péan;35131;-0.029709378;0.837995595
35238;Rennes;35000|35700|35200;-0.029326382;0.839639098
35245;Romillé;35850;-0.033006114;0.841515362
35250;Saint-Armel;35230;-0.02776044;0.83796164
35266;Saint-Erblon;35230;-0.028822175;0.838097394
35275;Saint-Gilles;35590;-0.031910431;0.840429391
35278;Saint-Grégoire;35760;-0.029326382;0.840424531
35281;Saint-Jacques-de-la-Lande;35136;-0.030029368;0.838955531
35315;Saint-Sulpice-la-Forêt;35250;-0.027547108;0.841558971
35334;Thorigné-Fouillard;35235;-0.027581055;0.840439045
35352;Vern-sur-Seiche;35770;-0.027949512;0.838567709
35353;Vezin-le-Coquet;35132;-0.030649919;0.839823322
